customer_ID,shopping_pt,group_size,homeowner,car_age,married_couple,cost
10000000,9,2,0,2,1,634
10000005,6,1,0,10,0,731
10000007,8,1,0,11,0,602
10000013,4,2,1,3,1,626
10000014,6,1,0,5,1,614
10000016,9,1,0,6,0,589
10000019,8,1,0,7,0,705
10000023,7,1,1,2,0,607
10000025,7,2,1,15,0,604
10000026,4,2,1,5,1,578
10000027,6,1,0,17,0,605
10000028,6,2,1,1,0,703
10000031,8,1,0,15,0,665
10000032,7,1,0,12,0,606
10000033,7,1,1,8,0,603
10000034,7,1,1,8,0,600
10000036,9,2,1,26,1,574
10000037,6,2,1,1,0,694
10000038,7,1,0,7,1,654
10000039,9,1,1,4,0,646
10000040,4,1,1,6,0,627
10000041,8,1,1,14,0,563
10000042,4,3,0,9,1,701
10000043,7,1,1,3,0,598
10000047,8,1,1,6,0,598
10000048,9,1,1,10,0,562
10000049,9,1,0,17,0,599
10000052,8,1,1,8,0,604
10000054,3,2,1,7,1,614
10000055,7,1,1,9,0,634
10000057,8,1,1,8,0,648
10000059,7,1,0,5,0,721
10000060,9,1,0,11,0,630
10000061,6,1,1,14,0,641
10000062,6,1,1,2,0,670
10000063,7,1,0,2,0,706
10000064,4,1,0,13,0,666
10000066,3,1,1,5,0,613
10000068,5,1,1,6,0,588
10000069,6,2,0,20,1,624
10000072,7,1,1,2,0,662
10000075,5,1,0,4,0,696
10000076,8,1,0,14,0,699
10000077,9,1,0,2,0,599
10000078,5,2,1,8,1,592
10000079,7,1,1,2,0,627
10000080,4,1,1,2,0,676
10000082,9,1,0,1,0,729
10000084,9,1,0,1,0,670
10000086,8,2,0,6,1,654
10000088,3,1,0,9,0,549
10000091,9,1,1,1,0,631
10000092,9,1,0,8,1,704
10000094,9,2,1,1,1,596
10000095,3,1,0,13,0,589
10000096,6,1,0,1,0,630
10000097,8,2,1,2,0,640
10000098,3,1,0,2,0,687
10000100,9,1,0,1,0,682
10000103,6,1,1,1,0,575
10000104,4,1,1,10,0,616
10000105,8,1,0,11,0,653
10000107,7,1,0,12,0,608
10000108,9,1,0,11,0,692
10000111,6,1,1,10,0,657
10000112,7,1,1,3,0,688
10000113,5,1,0,15,0,600
10000115,6,2,1,11,1,558
10000116,9,1,0,14,0,597
10000117,3,1,1,13,0,571
10000118,7,1,0,3,0,648
10000121,8,1,0,4,0,667
10000122,5,1,0,6,0,666
10000123,7,1,1,4,0,617
10000124,4,4,1,19,1,538
10000125,9,1,1,1,0,610
10000126,9,2,0,8,1,659
10000127,7,1,1,1,0,597
10000128,7,1,0,18,0,573
10000129,9,1,0,12,0,665
10000130,7,2,0,12,1,628
10000131,5,1,1,8,0,644
10000132,3,1,0,10,1,642
10000133,6,1,0,2,0,622
10000134,9,1,0,7,0,653
10000135,9,1,0,7,0,631
10000136,6,2,0,15,0,599
10000137,9,2,1,22,1,639
10000138,9,2,0,2,1,621
10000139,6,1,0,1,0,647
10000141,8,2,1,1,1,625
10000143,7,1,1,15,0,567
10000144,7,1,1,9,0,617
10000145,6,1,0,6,0,610
10000147,7,1,1,6,0,668
10000148,9,2,1,12,1,625
10000150,8,1,1,5,1,612
10000151,9,1,1,14,0,596
10000152,6,1,0,17,0,584
10000154,8,1,1,10,0,714
10000155,5,1,0,3,0,590
10000156,5,1,0,7,0,678
10000158,8,1,0,9,0,703
10000159,8,1,0,7,0,727
10000160,9,1,1,4,0,607
10000161,6,1,0,13,0,629
10000162,5,1,1,1,0,644
10000163,9,1,1,9,0,671
10000164,4,1,1,6,0,709
10000165,6,1,1,16,1,590
10000167,7,1,0,9,0,686
10000168,8,1,0,12,0,668
10000169,8,1,1,7,0,655
10000170,9,1,1,4,0,662
10000172,7,1,0,13,0,577
10000173,9,1,0,4,0,745
10000176,7,1,0,18,0,625
10000178,9,1,0,8,0,644
10000179,6,1,0,11,0,614
10000180,3,1,0,9,0,654
10000182,7,1,1,5,0,618
10000183,9,1,0,3,0,630
10000184,5,1,1,8,0,612
10000187,9,1,0,6,0,634
10000188,7,2,0,2,1,587
10000189,9,1,0,7,0,705
10000190,8,1,1,12,0,661
10000191,9,1,1,2,1,653
10000192,6,1,0,7,0,768
10000193,9,1,0,1,0,677
10000194,7,1,1,7,0,615
10000197,8,1,0,9,0,669
10000198,8,1,1,8,0,583
10000200,5,1,0,9,0,584
10000203,4,1,1,1,0,636
10000205,8,2,1,3,1,629
10000206,9,1,0,0,0,644
10000208,5,1,1,4,0,653
10000209,4,2,1,7,0,666
10000210,6,2,1,10,1,572
10000211,9,1,1,16,0,550
10000212,7,1,0,13,0,585
10000214,7,1,0,16,0,623
10000215,9,1,1,16,0,647
10000216,9,1,1,12,0,625
10000217,8,1,1,7,1,674
10000218,8,2,1,8,0,621
10000220,6,1,1,10,0,589
10000221,6,1,0,15,0,572
10000224,7,1,0,4,0,697
10000227,8,1,0,11,0,653
10000228,9,1,1,11,0,649
10000229,8,1,0,5,0,698
10000230,9,2,1,10,1,677
10000236,8,2,0,7,0,700
10000239,6,2,1,1,1,671
10000240,8,1,0,6,0,659
10000242,5,1,0,9,0,591
10000243,9,1,0,18,0,623
10000245,7,1,1,17,0,607
10000246,5,1,1,7,0,684
10000248,7,1,1,4,0,692
10000250,8,2,0,3,1,673
10000252,9,1,1,8,0,694
10000253,4,1,0,2,0,712
10000254,5,2,1,18,1,575
10000255,7,2,0,14,0,678
10000256,4,1,1,2,0,654
10000259,6,2,1,1,0,623
10000261,7,1,1,6,0,622
10000262,6,1,0,11,0,608
10000263,7,1,0,7,0,624
10000264,7,1,0,4,0,698
10000265,9,1,1,10,0,683
10000266,6,1,0,5,0,621
10000269,6,1,0,6,0,651
10000271,4,2,1,10,1,618
10000275,3,1,1,10,0,704
10000277,7,1,1,12,0,583
10000278,9,1,1,7,0,626
10000281,3,1,1,6,0,709
10000282,9,1,0,8,0,602
10000283,5,1,1,8,0,592
10000284,9,1,0,6,0,594
10000287,4,1,1,8,0,576
10000288,7,2,0,15,1,574
10000293,5,1,0,7,0,666
10000294,9,3,0,12,1,669
10000295,8,2,1,11,1,672
10000299,6,2,1,1,0,727
10000305,9,1,0,14,0,721
10000306,8,1,0,11,0,635
10000307,8,2,1,11,1,697
10000308,7,2,1,5,1,621
10000310,9,1,0,14,0,585
10000311,4,1,1,6,0,603
10000314,9,1,1,5,1,589
10000316,9,2,0,14,1,617
10000318,5,1,1,9,0,589
10000320,9,2,1,11,1,619
10000321,8,1,1,16,0,638
10000324,9,1,0,12,0,607
10000330,4,1,1,5,0,627
10000331,4,1,1,10,0,667
10000332,8,1,0,12,0,722
10000334,9,1,0,15,0,612
10000335,4,1,0,11,0,691
10000336,5,2,1,3,1,667
10000337,9,1,0,10,0,668
10000338,9,1,1,3,0,605
10000339,5,1,1,6,0,667
10000344,5,2,1,1,0,679
10000345,8,1,1,1,0,601
10000346,7,1,0,2,0,631
10000347,9,1,0,6,0,659
10000348,9,2,1,6,1,622
10000349,7,1,1,11,0,638
10000350,8,1,1,12,0,580
10000351,7,1,1,13,0,577
10000353,4,1,0,8,0,704
10000354,8,1,1,8,0,607
10000355,9,1,1,14,0,603
10000357,7,2,1,16,0,654
10000359,9,1,1,1,0,643
10000360,9,1,0,11,0,611
10000361,6,1,0,2,0,665
10000362,4,1,0,18,0,657
10000363,7,1,0,2,0,681
10000365,5,1,0,5,0,640
10000367,4,1,1,9,0,645
10000368,6,1,1,3,0,654
10000369,7,1,0,10,0,672
10000371,9,1,0,1,0,671
10000374,5,2,1,1,1,660
10000375,8,1,0,8,0,667
10000376,5,2,1,19,0,632
10000377,6,1,1,6,0,618
10000378,7,1,1,1,0,744
10000379,3,2,1,7,1,571
10000381,5,1,1,6,0,567
10000383,6,1,1,3,0,670
10000385,8,1,1,1,0,649
10000386,9,2,0,6,1,652
10000388,9,2,1,1,1,648
10000389,8,2,0,1,1,619
10000391,9,2,1,5,1,639
10000392,6,1,1,7,0,589
10000393,7,1,0,7,0,697
10000394,9,1,0,1,0,674
10000395,8,2,0,2,1,652
10000396,8,1,0,3,0,622
10000397,7,1,1,6,0,646
10000398,7,1,1,4,0,633
10000400,8,1,0,10,0,586
10000401,7,1,0,8,0,597
10000402,9,2,1,6,1,748
10000403,5,2,0,7,1,659
10000404,6,1,1,2,0,637
10000405,5,1,0,2,0,679
10000406,6,2,0,0,1,733
10000407,5,1,1,5,0,706
10000408,7,1,0,1,0,685
10000410,9,1,0,6,0,669
10000411,7,1,0,12,0,614
10000412,3,1,1,14,0,640
10000415,7,2,1,10,1,544
10000416,8,1,1,1,0,622
10000417,9,1,0,1,0,698
10000418,8,1,0,2,0,706
10000420,9,2,1,14,1,568
10000422,6,1,0,18,0,632
10000423,9,1,0,15,0,614
10000425,8,1,1,14,0,505
10000426,7,2,0,3,1,630
10000428,3,1,1,11,0,646
10000429,6,1,1,8,0,625
10000430,9,1,1,10,1,606
10000433,9,1,0,8,0,612
10000435,8,1,1,1,0,641
10000437,5,1,0,11,0,604
10000441,6,1,0,14,0,671
10000443,5,1,0,7,0,651
10000444,9,1,0,9,0,707
10000445,9,1,1,19,0,612
10000446,6,1,0,11,0,545
10000447,8,1,0,3,0,704
10000448,8,1,1,28,1,554
10000449,5,2,1,3,1,627
10000450,7,1,0,1,0,659
10000451,4,2,1,4,1,660
10000452,8,1,0,4,0,639
10000453,7,1,1,8,0,627
10000454,9,1,0,13,0,595
10000455,4,1,1,11,0,535
10000457,8,1,0,13,0,646
10000458,8,1,1,4,0,641
10000459,8,1,1,9,0,656
10000460,5,2,1,14,0,666
10000463,5,1,1,24,0,548
10000465,5,2,0,17,0,669
10000468,9,2,0,10,1,631
10000469,9,2,1,9,1,564
10000471,7,2,1,7,1,611
10000473,7,2,1,18,0,660
10000474,7,1,1,3,0,616
10000476,6,1,0,9,0,613
10000478,5,1,0,2,0,669
10000479,9,2,1,17,1,583
10000481,7,1,0,13,0,560
10000482,9,1,0,9,0,641
10000483,4,1,1,2,0,666
10000484,8,1,1,2,0,644
10000485,5,1,1,7,0,662
10000486,9,1,1,12,0,580
10000487,9,2,0,12,1,605
10000488,9,1,0,5,0,671
10000489,6,1,1,21,0,631
10000490,8,1,0,2,1,601
10064689,8,2,1,2,1,594
10064690,8,1,0,3,0,649
10064691,6,1,1,7,0,626
10064693,5,1,0,13,0,648
10064695,5,1,1,10,0,657
10064696,6,1,0,12,1,602
10064697,7,1,0,14,0,559
10064698,7,1,0,6,0,674
10064700,7,1,1,23,0,586
10064701,9,1,1,1,0,639
10064702,4,1,1,4,0,573
10064707,3,1,1,1,0,640
10064708,3,2,1,4,1,616
10064709,8,1,1,4,0,642
10064712,9,1,0,9,0,652
10064713,7,1,0,12,0,635
10064714,9,1,0,6,0,669
10064715,8,1,1,12,0,596
10064717,5,1,0,11,0,615
10064719,9,1,0,1,0,672
10064720,6,1,0,1,0,611
10064721,8,1,0,6,0,632
10064722,9,1,0,1,0,666
10064725,6,1,1,6,0,587
10064731,5,1,0,2,0,597
10064732,8,2,1,10,1,565
10064733,6,1,1,13,1,670
10064734,5,1,0,6,0,598
10064735,6,1,1,1,1,673
10064736,4,2,0,12,1,549
10064737,4,1,1,9,0,599
10064738,5,2,1,6,1,628
10064739,7,1,1,13,0,595
10064746,7,2,1,2,1,599
10064747,5,1,0,6,0,651
10064749,7,3,1,4,1,665
10064751,8,1,1,10,1,618
10064752,3,1,1,9,0,616
10064753,7,1,1,8,0,671
10064756,5,1,0,11,0,662
10064757,7,2,1,25,1,609
10064758,7,1,1,9,0,622
10064760,5,1,1,1,0,735
10064761,8,1,0,12,0,664
10064762,8,1,0,9,0,579
10064763,5,1,0,8,0,621
10064765,9,1,1,0,1,651
10064766,9,2,1,8,1,605
10064767,6,1,0,17,0,644
10064773,5,1,0,10,0,670
10064774,4,1,1,2,0,632
10064776,5,1,0,11,0,552
10064778,5,2,1,3,1,665
10064782,7,2,1,1,1,710
10064784,9,1,0,6,0,694
10064785,7,1,1,9,0,662
10064787,6,2,1,12,1,633
10064788,6,1,0,14,0,653
10064789,8,1,0,14,0,661
10064790,7,1,1,8,0,620
10064791,6,1,1,14,0,569
10064792,8,1,0,13,0,676
10064794,9,1,0,1,0,695
10064797,8,1,0,7,0,636
10064798,6,1,1,11,0,679
10064799,9,1,1,16,0,598
10064800,8,2,1,8,1,640
10064805,5,1,0,1,0,662
10064808,7,2,1,3,0,674
10064809,9,2,1,10,1,592
10064810,7,2,1,4,1,686
10064812,8,1,1,8,0,598
10064816,5,1,0,2,0,677
10064819,4,2,0,9,0,653
10064820,8,1,0,1,0,710
10064821,8,1,1,4,0,605
10064822,9,1,0,10,0,618
10064825,6,1,1,19,0,624
10064826,7,1,0,13,0,657
10064827,8,1,0,2,0,617
10064828,8,1,0,8,0,617
10064829,5,2,1,3,1,620
10064830,3,1,0,8,0,644
10064833,8,1,1,9,0,637
10064835,9,1,1,1,0,679
10064837,7,1,0,8,0,612
10064842,6,1,1,15,0,578
10064846,4,1,1,1,0,713
10064848,8,1,0,5,0,710
10064850,7,1,1,1,0,658
10064851,9,1,1,8,0,621
10064854,9,1,1,3,0,619
10064856,6,1,1,6,1,584
10064859,5,1,0,8,0,682
10064860,4,1,1,14,0,611
10064865,8,2,1,1,1,776
10064868,9,1,1,2,0,679
10064869,8,2,0,15,1,637
10064870,9,2,0,15,0,703
10064871,8,1,0,7,1,658
10064873,6,2,1,8,0,623
10064875,8,1,1,14,1,666
10064876,3,1,1,1,0,617
10064877,7,2,0,4,0,660
10064878,5,1,1,4,0,573
10064882,8,1,1,18,0,562
10064883,9,1,0,3,0,743
10064884,9,1,1,16,0,606
10064887,9,1,0,10,0,700
10064888,9,1,1,6,0,647
10064889,8,1,1,6,0,721
10064890,7,1,0,16,0,563
10064891,6,2,1,6,1,593
10064893,3,1,1,9,0,602
10064897,5,1,1,7,0,597
10064898,6,1,1,12,0,624
10064902,9,2,1,16,1,585
10064904,7,1,1,1,0,703
10064905,9,1,0,7,0,724
10064906,4,1,0,3,0,664
10064909,9,2,1,8,1,609
10064914,5,1,1,12,0,574
10064915,5,1,0,17,0,586
10064916,8,1,0,13,0,588
10064918,6,1,0,20,0,590
10064920,8,2,1,9,1,621
10064924,9,1,0,13,0,640
10064925,4,1,0,14,0,627
10064926,9,1,0,3,0,676
10064927,5,2,1,13,1,560
10064928,9,2,1,4,1,647
10064929,8,3,1,10,0,708
10064930,7,1,1,6,0,607
10064931,6,1,0,9,0,674
10064933,6,2,1,2,1,696
10064935,6,1,1,7,0,681
10064936,3,1,1,16,0,559
10064937,8,1,1,12,0,550
10064938,7,1,0,6,0,650
10064942,7,1,0,8,0,574
10064943,7,2,1,2,1,604
10064944,8,1,1,15,0,563
10064946,5,1,1,3,0,592
10064947,6,1,1,3,0,647
10064948,8,1,1,12,0,640
10064949,6,2,0,2,1,566
10064951,9,1,0,16,0,626
10064953,7,1,1,2,0,647
10064954,7,1,0,19,0,661
10064955,6,1,1,11,0,585
10064957,6,1,0,2,0,709
10064959,5,2,1,15,1,600
10064961,7,1,1,8,1,645
10064962,9,2,1,6,0,580
10064963,8,1,0,8,0,676
10064964,9,2,0,11,1,710
10064966,4,2,1,7,0,652
10064967,9,2,0,1,1,656
10064968,8,1,0,7,0,651
10064969,8,1,1,3,0,614
10064970,9,1,1,9,0,661
10064971,3,2,1,14,1,570
10064972,8,1,1,15,0,662
10064974,9,1,1,20,0,575
10064977,5,1,1,5,0,700
10064978,6,1,1,2,0,683
10064979,9,1,1,7,1,648
10064980,3,2,0,18,1,595
10064981,6,1,1,29,0,551
10064983,6,1,0,1,0,697
10064985,9,2,1,3,1,633
10064986,8,1,1,8,0,631
10064989,9,2,1,17,1,552
10064992,9,1,0,9,0,637
10064993,6,2,1,7,1,657
10064994,3,1,1,0,0,677
10064995,7,1,0,19,0,625
10064997,3,2,1,2,1,642
10064998,4,1,1,1,0,652
10064999,5,1,1,16,0,619
10065000,4,1,1,7,0,628
10065001,6,3,1,21,1,607
10065002,7,1,0,24,0,612
10065003,7,1,1,2,0,593
10065004,7,1,0,6,0,688
10065005,7,1,1,3,0,650
10065007,4,1,1,10,0,557
10065009,8,1,0,12,0,585
10065010,5,2,0,14,0,685
10065011,6,1,1,6,0,623
10065013,6,2,1,17,0,590
10065016,8,1,1,1,1,698
10065017,9,1,0,13,0,607
10065018,6,2,1,11,1,688
10065020,9,1,0,12,0,592
10065022,6,1,1,10,0,560
10065024,6,2,1,7,1,593
10065027,3,1,0,3,0,680
10065028,5,1,0,9,1,670
10065031,9,1,0,15,0,567
10065032,6,1,0,14,0,559
10065034,6,1,0,5,0,727
10065035,8,1,1,4,0,666
10065037,6,1,1,9,0,539
10065040,7,1,0,3,0,692
10065041,8,1,0,9,0,687
10065043,6,1,1,2,0,660
10065047,7,1,1,4,0,653
10065048,8,2,0,8,1,609
10065049,5,2,1,3,1,616
10065051,7,2,1,9,1,604
10065052,4,1,1,11,0,609
10065053,3,2,0,9,1,641
10065054,9,1,1,5,0,640
10065055,7,1,1,3,0,635
10065057,6,1,0,8,0,672
10065058,6,1,0,3,0,668
10065059,3,1,1,3,0,650
10065060,7,1,0,1,0,636
10065061,5,3,1,13,1,604
10065062,3,1,0,12,0,652
10065063,8,1,1,1,0,629
10065068,9,1,0,8,0,625
10065069,6,1,0,5,0,646
10065070,8,1,1,10,0,609
10065071,9,1,0,15,0,627
10065075,9,1,0,15,0,581
10065076,7,1,1,9,0,663
10065078,8,2,1,12,0,623
10065079,7,1,0,9,0,624
10065080,7,1,0,15,1,649
10065081,9,1,0,16,0,641
10065082,6,1,0,6,1,629
10065083,6,1,0,2,0,660
10065084,5,1,0,7,0,635
10065085,7,1,0,14,0,577
10065086,5,1,1,10,0,644
10065089,8,1,1,6,0,620
10065090,7,2,0,6,0,648
10065091,7,2,0,2,1,646
10065092,7,1,0,1,0,661
10065093,7,1,1,11,0,618
10065095,8,1,1,22,0,560
10065096,8,2,1,3,1,731
10065098,7,1,1,12,0,602
10065101,3,2,0,23,1,653
10065102,8,1,1,7,0,616
10065103,6,1,1,12,0,688
10065105,9,1,0,15,0,657
10065106,8,1,0,7,0,692
10065108,8,2,0,5,1,606
10065109,8,1,1,14,0,623
10065110,9,1,0,10,0,696
10065111,8,2,0,14,1,655
10065112,7,2,1,2,1,635
10065113,9,2,1,7,1,581
10065114,7,1,1,2,0,620
10065117,6,2,1,5,1,624
10065118,4,1,1,3,0,617
10065124,9,1,0,6,0,602
10065125,5,1,0,2,0,620
10065126,7,1,0,14,0,617
10065128,9,1,1,23,0,669
10065129,8,2,1,7,1,629
10065130,8,2,0,2,1,726
10065132,4,1,1,3,0,587
10065134,6,2,0,2,1,661
10065136,6,2,1,8,1,551
10065137,8,1,1,13,0,679
10065138,5,1,0,9,0,596
